id,title,source,source_names,date,url,one_liner,sponsor_names,company_names,has_sponsor_signal,company_affiliation_signal
fe0dc5dc08029f0d3f4757c5d990334e75b67981bd1464e165aa29b1f00edefa,Robotic-assisted versus standard laparoscopic surgery for colorectal cancer in obese patients: a systematic review and meta-analysis,PubMed - cancer (broad),PubMed - cancer (broad),2026-12-01T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41454717/,No LLM provider configured.,,,False,False
629255d9fbc80110b185c9eb01a6316de055202fde5c4b405fcd8a532e6c2d74,The role of gut microbiome in aging-associated diseases: where do we stand now and how technology will transform the future,PubMed - cancer (broad),PubMed - cancer (broad);Gut;Biology,2026-12-31T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41454672/,No LLM provider configured.,,,False,False
5266463efc85e6bbd9b0e44d59fac3965a31ae8ef1f16e5cc7f8c63d69495227,IL-37/IL-1R8 axis: a novel major mechanism of control at the interface between tumor and immune cells,PubMed - cancer (broad),PubMed - cancer (broad),2026-12-31T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41454667/,No LLM provider configured.,,,False,False
ac7c8f13e77a53a228951c4e190b4e954fead1428afbb0c3edf576648dbe0d85,Gut‒heart axis: emerging therapies targeting trimethylamine N-oxide production,PubMed - cancer (broad),PubMed - cancer (broad);Gut,2026-12-31T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41454643/,No LLM provider configured.,,,False,False
6b3649bbd3662c779acd6b46424867d82753de28795627442768526f59ed2238,The molecular mechanism of cuproptosis and research progress in pancreatic diseases,PubMed - cancer (broad),PubMed - cancer (broad),2026-12-01T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41454639/,No LLM provider configured.,,,False,False
c6b4668e80c9f8ca196cdf7b72c8132e0d1d36927583cc8b62a79b40220702dc,Harnessing IL-2 without feeding the enemy: modern strategies to overcome regulatory T cell expansion in cancer immunotherapy,PubMed - cancer (broad),PubMed - cancer (broad),2025-12-28T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41183764/,No LLM provider configured.,,,False,False
350343975d88656a71a73a7954961f6d182dd4dfba127f2c300f969676164dd6,"Commentary: Enhanced prediction of breast cancer patient response to chemotherapy by integrating deconvolved expression patterns of immune, stromal and tumor cells",PubMed - cancer (broad),PubMed - cancer (broad),2025-12-28T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41176211/,No LLM provider configured.,,,False,False
71d64edf4192ed37d7276e61c177c9531153702c7edde15f1a9e3ccb9df42165,Rethinking clinical trial endpoints for evaluating serially delivered 'strategic radiotherapy' in oligometastatic or oligoprogressive metastatic disease,PubMed - cancer (broad),PubMed - cancer (broad),2025-12-28T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41176209/,No LLM provider configured.,,,False,False
09199c61e38f40e1fbe1290765cb88e4a1b3628e88bf81ba913ae237fb934b7e,Biomechanical networks of the pre-metastatic niche: Decoding biophysical determinants of tumor metastatic organotropism,PubMed - cancer (broad),PubMed - cancer (broad),2025-12-28T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41167581/,No LLM provider configured.,,,False,False
80b79eff634c5987b863772f86eddfb26d1382ac8da46104b80a761a913f0389,Obese adipose tissue-derived extracellular vesicles enriched with glycolytic cargo promote colorectal cancer tumorigenesis,PubMed - cancer (broad),PubMed - cancer (broad),2025-12-28T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41167580/,No LLM provider configured.,,,False,False
7f62d935c827c82ca5f5dd10e004782bfc9a952471eb481b9869596a2047ed44,Fatal shots in cellular therapy: addressing early development pitfalls to improve clinical success,PubMed - cancer (broad),PubMed - cancer (broad),2025-12-28T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41138898/,No LLM provider configured.,,,False,False
65b03631b404b6f53b8822c49ce55f4fa41ce76c08bf244bf1bf74f6d76008e9,Design of nano-delivery systems for pancreatic cancer immunotherapy,PubMed - cancer (broad),PubMed - cancer (broad),2025-12-28T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41135859/,No LLM provider configured.,,,False,False
944c03e0a704ed86f5ca1131c914d9ced5c0cf75f6c345d2d043758f32a5919a,The pathogenicity and virulence of Sindbis virus,Biology,Biology,2026-12-01T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41442410/,No LLM provider configured.,,,False,False
0c75c741d54dd944028aa16242564f3d6eef3d84590af4398543fccdc795bae7,The role of epigenetics in hypertension of children and adolescents: a systematic review,Biology,Biology,2026-12-01T00:00:00,https://pubmed.ncbi.nlm.nih.gov/41324505/,No LLM provider configured.,,,False,False
